recv_parse: listening on UDP port 9002
parsed AddOrderShort from 127.0.0.1:56138 | msg=a tracking=29305 option=1846166784 price=1280 vol=2145
parsed AddOrderShort from 127.0.0.1:56138 | msg=a tracking=31084 option=549120 price=1043 vol=63734
parsed AddOrderShort from 127.0.0.1:56138 | msg=a tracking=25695 option=68417782 price=18804 vol=37376
parsed AddOrderShort from 127.0.0.1:56138 | msg=a tracking=4 option=136005 price=5 vol=8
parsed AddOrderShort from 127.0.0.1:56138 | msg=a tracking=5 option=136005 price=5 vol=8
parsed AddOrderShort from 127.0.0.1:56138 | msg=a tracking=6 option=136005 price=5 vol=8
parsed AddOrderShort from 127.0.0.1:56138 | msg=a tracking=7 option=136005 price=5 vol=8
parsed AddOrderShort from 127.0.0.1:56138 | msg=a tracking=8 option=136005 price=5 vol=8
parsed AddOrderShort from 127.0.0.1:56138 | msg=a tracking=9 option=136005 price=5 vol=8
parsed AddOrderShort from 127.0.0.1:56138 | msg=a tracking=10 option=136005 price=5 vol=8
parsed AddOrderShort from 127.0.0.1:56138 | msg=a tracking=11 option=136005 price=5 vol=8
parsed AddOrderShort from 127.0.0.1:56138 | msg=a tracking=12 option=136005 price=5 vol=8
parsed AddOrderShort from 127.0.0.1:56138 | msg=a tracking=13 option=136005 price=5 vol=8
parsed AddOrderShort from 127.0.0.1:56138 | msg=a tracking=14 option=136005 price=5 vol=8
parsed AddOrderShort from 127.0.0.1:56138 | msg=a tracking=15 option=136005 price=5 vol=8
parsed AddOrderShort from 127.0.0.1:56138 | msg=a tracking=16 option=136005 price=5 vol=8
parsed AddOrderShort from 127.0.0.1:56138 | msg=a tracking=17 option=136005 price=5 vol=8
parsed AddOrderShort from 127.0.0.1:56138 | msg=a tracking=18 option=136005 price=5 vol=8
parsed AddOrderShort from 127.0.0.1:56138 | msg=a tracking=19 option=136005 price=5 vol=8
parsed AddOrderShort from 127.0.0.1:56138 | msg=a tracking=20 option=136005 price=5 vol=8
parsed AddOrderShort from 127.0.0.1:56138 | msg=a tracking=21 option=136005 price=5 vol=8
parsed AddOrderShort from 127.0.0.1:56138 | msg=a tracking=22 option=136005 price=5 vol=8
parsed AddOrderShort from 127.0.0.1:56138 | msg=a tracking=23 option=136005 price=5 vol=8
